Mes;IPCA - Variacao mensal (%)
janeiro 1980;6.62
fevereiro 1980;4.62
março 1980;6.04
abril 1980;5.29
maio 1980;5.70
junho 1980;5.31
julho 1980;5.55
agosto 1980;4.95
setembro 1980;4.23
outubro 1980;9.48
novembro 1980;6.67
dezembro 1980;6.61
janeiro 1981;6.84
fevereiro 1981;6.40
março 1981;4.97
abril 1981;6.46
maio 1981;5.56
junho 1981;5.52
julho 1981;6.26
agosto 1981;5.50
setembro 1981;5.26
outubro 1981;5.08
novembro 1981;5.27
dezembro 1981;5.93
janeiro 1982;6.97
fevereiro 1982;6.64
março 1982;5.71
abril 1982;5.89
maio 1982;6.66
junho 1982;7.10
julho 1982;6.36
agosto 1982;5.97
setembro 1982;5.08
outubro 1982;4.44
novembro 1982;5.29
dezembro 1982;7.81
janeiro 1983;8.64
fevereiro 1983;7.86
março 1983;7.34
abril 1983;6.58
maio 1983;6.48
junho 1983;9.88
julho 1983;10.08
agosto 1983;9.11
setembro 1983;10.30
outubro 1983;8.87
novembro 1983;7.38
dezembro 1983;8.68
janeiro 1984;9.67
fevereiro 1984;9.50
março 1984;8.94
abril 1984;9.54
maio 1984;9.05
junho 1984;10.08
julho 1984;9.72
agosto 1984;9.35
setembro 1984;11.75
outubro 1984;10.44
novembro 1984;10.53
dezembro 1984;11.98
janeiro 1985;11.76
fevereiro 1985;10.87
março 1985;10.16
abril 1985;8.20
maio 1985;7.20
junho 1985;8.49
julho 1985;10.31
agosto 1985;12.05
setembro 1985;11.12
outubro 1985;10.62
novembro 1985;13.97
dezembro 1985;15.07
janeiro 1986;14.37
fevereiro 1986;12.72
março 1986;4.77
abril 1986;0.78
maio 1986;1.40
junho 1986;1.27
julho 1986;1.71
agosto 1986;3.55
setembro 1986;1.72
outubro 1986;1.90
novembro 1986;5.45
dezembro 1986;11.65
janeiro 1987;13.21
fevereiro 1987;12.64
março 1987;16.37
abril 1987;19.10
maio 1987;21.45
junho 1987;19.71
julho 1987;9.21
agosto 1987;4.87
setembro 1987;7.78
outubro 1987;11.22
novembro 1987;15.08
