Data Base;Nr Operacoes;Volume;Media;Fator Diario;Minima;Maxima;Moda;Dsv Pdr;Taxa SELIC
02/01/2003;89;857190;24.82;100.088.016;23;25;24.9;0.19;24.9
03/01/2003;90;1060592;24.81;100.087.984;23;25;24.9;0.18;24.9
06/01/2003;102;1314032;24.83;100.088.048;23;25;24.9;0.16;24.9
07/01/2003;99;1136581;24.83;100.088.048;23;25;24.9;0.17;24.9
08/01/2003;99;1089722;24.82;100.088.016;23;25;24.9;0.16;24.9
09/01/2003;96;1101381;24.81;100.087.984;23;25;24.9;0.17;24.9
10/01/2003;96;1103274;24.81;100.087.984;23;25;24.9;0.16;24.9
13/01/2003;92;1104144;24.8;100.087.952;23;24.95;24.9;0.19;24.9
14/01/2003;94;1213658;24.81;100.087.984;23;24.95;24.9;0.18;24.9
15/01/2003;99;1243930;24.83;100.088.048;23;25;24.9;0.17;24.9
16/01/2003;105;1235161;24.85;100.088.111;23;25;24.9;0.17;24.9
17/01/2003;88;1135328;24.85;100.088.111;23;25;24.9;0.15;24.9
20/01/2003;87;1057607;24.84;10.008.808;23;25;24.9;0.15;24.9
21/01/2003;103;1147284;24.84;10.008.808;23;24.95;24.9;0.17;24.9
22/01/2003;100;1203361;24.85;100.088.111;23;25;24.9;0.15;24.9
23/01/2003;101;1187585;25.28;100.089.477;23.5;25.5;25.4;0.25;25.4
24/01/2003;101;1261441;25.32;100.089.604;23.5;25.5;25.4;0.16;25.4
27/01/2003;99;1173071;25.33;100.089.635;23.5;25.5;25.4;0.14;25.4
28/01/2003;100;1323475;25.22;100.089.287;23.5;25.5;25.4;0.33;25.4
29/01/2003;105;1217657;25.31;100.089.572;23.5;25.5;25.4;0.16;25.4
30/01/2003;100;1186814;25.33;100.089.635;23.5;25.5;25.4;0.19;25.39
31/01/2003;112;1839840;25.28;100.089.477;23.5;25.45;25.4;0.2;25.38
03/02/2003;95;1242962;25.33;100.089.635;23.5;25.5;25.4;0.14;25.38
04/02/2003;105;1487072;25.35;100.089.699;23.5;25.5;25.4;0.15;25.4
05/02/2003;107;1471185;25.37;100.089.762;23;25.5;25.4;0.13;25.39
06/02/2003;101;1395913;25.37;100.089.762;23.5;25.5;25.4;0.13;25.38
07/02/2003;102;1396675;25.35;100.089.699;23.5;25.5;25.4;0.15;25.37
10/02/2003;107;1457638;25.34;100.089.667;23;25.5;25.4;0.15;25.36
11/02/2003;108;1373610;25.33;100.089.635;22.8;25.6;25.4;0.19;25.35
12/02/2003;101;1242270;25.28;100.089.477;23;25.45;25.4;0.25;25.34
13/02/2003;101;1205181;25.27;100.089.445;23;25.45;25.4;0.17;25.32
14/02/2003;98;1118479;25.29;100.089.509;23.5;25.5;25.4;0.17;25.33
17/02/2003;103;1190063;25.32;100.089.604;23.5;25.6;25.4;0.16;25.32
18/02/2003;103;1340711;25.29;100.089.509;23.5;25.5;25.4;0.2;25.29
19/02/2003;103;1188432;25.3;10.008.954;23.5;25.5;25.4;0.18;25.3
20/02/2003;99;1205113;26.07;100.091.974;24;26.4;26.4;0.41;26.26
21/02/2003;102;1106422;26.19;100.092.352;24;26.5;26.4;0.23;26.29
24/02/2003;102;1120515;26.22;100.092.446;24;26.45;26.4;0.24;26.32
25/02/2003;101;1258978;26.23;100.092.477;24;26.45;26.4;0.18;26.31
26/02/2003;95;1131193;26.23;100.092.477;24;26.45;26.25;0.21;26.29
27/02/2003;97;1068397;26.24;100.092.509;24;26.45;26.38;0.21;26.27
28/02/2003;105;1394705;26.28;100.092.635;24;26.9;26.1;0.21;26.28
05/03/2003;113;1282396;26.3;100.092.698;24;26.9;26.4;0.24;26.29
06/03/2003;102;1240284;26.29;100.092.666;24;26.4;26.3;0.17;26.28
07/03/2003;98;1414674;26.29;100.092.666;24;26.5;26.3;0.17;26.29
10/03/2003;98;1406528;26.32;100.092.761;24;26.6;26.4;0.2;26.29
11/03/2003;99;1415132;26.3;100.092.698;23.5;26.5;26.4;0.21;26.3
12/03/2003;107;1344291;26.29;100.092.666;23.5;26.5;26.3;0.22;26.3
13/03/2003;108;1301958;26.27;100.092.603;23.5;26.5;26.3;0.24;26.31
14/03/2003;98;1337267;26.27;100.092.603;23.5;26.4;26.4;0.19;26.31
17/03/2003;100;1246627;26.27;100.092.603;23.5;26.5;26.3;0.2;26.32
18/03/2003;104;1112889;26.24;100.092.509;23.5;26.4;26.1;0.26;26.32
19/03/2003;108;1230856;26.23;100.092.477;23.5;26.4;26.3;0.27;26.34
20/03/2003;117;1469970;26.24;100.092.509;23.5;26.4;26.3;0.21;26.34
21/03/2003;115;1473533;26.23;100.092.477;23.5;26.4;26.3;0.26;26.35
24/03/2003;110;1367799;26.22;100.092.446;23.5;26.4;26.4;0.27;26.33
25/03/2003;110;1170088;26.19;100.092.352;23.5;26.4;26.4;0.33;26.33
26/03/2003;115;1320592;26.2;100.092.383;23.5;26.4;26.4;0.3;26.34
27/03/2003;112;1287992;26.19;100.092.352;23.5;26.4;26.2;0.32;26.33
28/03/2003;108;1474525;26.22;100.092.446;23.5;26.4;26.1;0.29;26.32
31/03/2003;102;1456075;26.23;100.092.477;23.5;26.4;26.22;0.19;26.32
01/04/2003;107;1263111;26.21;100.092.415;23.5;26.5;26.4;0.27;26.32
02/04/2003;104;1458449;26.21;100.092.415;23.5;26.4;26.4;0.23;26.31
03/04/2003;104;1331873;26.21;100.092.415;23.5;26.45;26.4;0.22;26.31
04/04/2003;103;1348127;26.21;100.092.415;23.5;26.4;26.4;0.23;26.32
07/04/2003;106;1329686;26.22;100.092.446;23.5;26.4;26.4;0.23;26.32
08/04/2003;108;1261165;26.22;100.092.446;23.5;26.4;26.4;0.24;26.32
09/04/2003;105;1192902;26.21;100.092.415;23.5;26.5;26.22;0.24;26.32
10/04/2003;109;1034132;26.19;100.092.352;23.5;26.4;26;0.27;26.32
11/04/2003;109;1088654;26.2;100.092.383;23.5;26.4;26.4;0.26;26.32
14/04/2003;111;1104552;26.2;100.092.383;23.5;26.5;26.4;0.27;26.32
15/04/2003;107;1065250;26.21;100.092.415;23.5;26.5;26.2;0.29;26.32
16/04/2003;111;1685937;26.27;100.092.603;23.5;26.5;26.4;0.24;26.32
17/04/2003;108;2064538;26.29;100.092.666;23.5;26.4;26.4;0.19;26.32
22/04/2003;99;1186175;26.28;100.092.635;23.5;26.5;26.4;0.16;26.32
23/04/2003;95;1838384;26.28;100.092.635;23.5;26.5;26.4;0.17;26.32
24/04/2003;107;1322078;26.25;10.009.254;23.5;26.5;26.28;0.26;26.32
25/04/2003;108;1177765;26.22;100.092.446;23.5;26.4;26.25;0.31;26.32
28/04/2003;110;1280698;26.23;100.092.477;23.5;26.5;26.4;0.28;26.32
29/04/2003;105;1280552;26.23;100.092.477;23.5;26.6;26.4;0.26;26.32
30/04/2003;90;1309512;26.28;100.092.635;23.5;26.55;26.4;0.29;26.32
02/05/2003;105;1525015;26.29;100.092.666;23.5;26.7;26.4;0.26;26.32
05/05/2003;117;1532361;26.28;100.092.635;24;26.55;26.4;0.25;26.32
06/05/2003;118;1469021;26.25;10.009.254;23.5;26.55;26.25;0.26;26.32
07/05/2003;113;1427797;26.24;100.092.509;24;26.6;26.25;0.27;26.32
08/05/2003;116;1363149;26.23;100.092.477;24;26.5;26.4;0.28;26.32
09/05/2003;115;1355742;26.23;100.092.477;23.5;26.45;26.23;0.24;26.32
12/05/2003;119;1368905;26.22;100.092.446;23.5;26.5;26.23;0.24;26.32
13/05/2003;115;1303521;26.21;100.092.415;23.5;26.4;26.22;0.23;26.32
14/05/2003;113;1524290;26.23;100.092.477;23.5;26.4;26.21;0.22;26.32
15/05/2003;111;1110755;26.2;100.092.383;23.5;26.4;26;0.27;26.32
16/05/2003;115;1659254;26.25;10.009.254;23.5;26.4;26.2;0.23;26.32
19/05/2003;113;1628084;26.26;100.092.572;23.5;26.4;26.25;0.23;26.32
20/05/2003;120;1525108;26.24;100.092.509;23.5;26.4;26.2;0.23;26.32
21/05/2003;122;1264690;26.2;100.092.383;24;26.4;26.2;0.24;26.31
22/05/2003;126;1316438;26.18;10.009.232;23.5;26.4;26.2;0.25;26.31
23/05/2003;118;1417663;26.19;100.092.352;23.5;26.4;26.2;0.22;26.3
26/05/2003;116;1339875;26.19;100.092.352;23.5;26.4;26;0.23;26.29
27/05/2003;111;1125580;26.18;10.009.232;23.5;26.4;26.19;0.27;26.28
28/05/2003;109;1054840;26.17;100.092.289;23.5;26.4;26.18;0.26;26.28
29/05/2003;103;1047555;26.18;10.009.232;23.5;26.4;26;0.25;26.27
30/05/2003;95;1026665;26.18;10.009.232;24;26.4;26.18;0.24;26.27
02/06/2003;105;1236769;26.19;100.092.352;23.5;26.4;26.18;0.24;26.26
